0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:14:44 +0700] "GET /test1/cart.jsp?id=s6%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=H%E1%BB%8Dc%20thuy%E1%BA%BFt%20ch%C3%ADnh%20tr%E1%BB%8B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=10000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F9786043003741.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:14:44 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 13114
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:14:47 +0700] "GET /test1/viewmycart.jsp HTTP/1.1" 500 2382
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:15:11 +0700] "GET /test1/SachController HTTP/1.1" 200 28484
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:15:21 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 21235
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:23 +0700] "GET /test1/SachController HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:24 +0700] "GET /test1/cart.jsp?id=s0%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=T%E1%BB%AB%20Ng%E1%BB%AF%20H%C3%A1n%20Vi%E1%BB%87t%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F8935087502012.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:24 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:25 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 14679
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:46 +0700] "GET /test1/SachController HTTP/1.1" 200 28487
