127.0.0.1 - - [17/Sep/2020:20:50:50 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:50:52 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:50:52 +0700] "GET /test1/css/mail.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:50:52 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:52:32 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5028
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:52:32 +0700] "GET /test1/css/mail.css HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:54:52 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:20:54:53 +0700] "GET /test1/css/mail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:18 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:18 +0700] "GET /test1/css/mail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:34 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:36 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:43 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:53 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:07:59 +0700] "GET /test1/css/mail.css HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:08:02 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:08:05 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:08:11 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:08:17 +0700] "GET /test1/mail.jsp HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [17/Sep/2020:21:08:17 +0700] "GET /test1/css/mail.css HTTP/1.1" 304 -
