127.0.0.1 - - [04/Oct/2020:23:16:26 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:16:27 +0700] "GET /test1/hienthiloai.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:16:27 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:16:29 +0700] "GET /test1/hienthiloai.jsp?type=Loai1 HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:16:30 +0700] "GET /test1/hienthiloai.jsp?type=Loai2 HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:16:31 +0700] "GET /test1/hienthiloai.jsp?type=Loai3 HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:16:32 +0700] "GET /test1/hienthiloai.jsp?type=Loai1 HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:48:55 +0700] "GET /test1/hienthiloai.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:48:56 +0700] "GET /test1/hienthiloai.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:48:57 +0700] "GET /test1/hienthiloai.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:49:17 +0700] "GET /test1/index.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:49:20 +0700] "GET /test1/index.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:49:42 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:49:43 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:49:45 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:49:45 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:50:33 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10665
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:50:34 +0700] "GET /test1/css/style.css HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:50:34 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:50:36 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10665
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:50:36 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:52:05 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:52:05 +0700] "GET /test1/css/minhkhai_style.css HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:52:05 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:52:38 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:52:38 +0700] "GET /test1/css/minhkhai_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:52:38 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:53:57 +0700] "GET /test1/index.jsp HTTP/1.1" 200 10686
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:53:57 +0700] "GET /test1/css/minhkhai_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2020:23:53:57 +0700] "GET /test1/img_avatar1.png HTTP/1.1" 404 776
