127.0.0.1 - - [27/Oct/2020:21:16:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:16:19 +0700] "GET /test1/index.jsp HTTP/1.1" 200 24388
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:16:20 +0700] "GET /test1/css/minhkhai_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:16:20 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:18:57 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:00 +0700] "GET /test1/index.jsp?type=Loai2 HTTP/1.1" 200 12606
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:01 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:02 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:03 +0700] "GET /test1/index.jsp?type=Loai2 HTTP/1.1" 200 12606
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:03 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:04 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:05 +0700] "GET /test1/index.jsp?type=Loai2 HTTP/1.1" 200 12606
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:05 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:42 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:46 +0700] "GET /test1/index.jsp?type=Loai2 HTTP/1.1" 200 12606
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:19:51 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:21:17 +0700] "GET /test1/index.jsp?type=Loai1 HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:21:22 +0700] "GET /test1/index.jsp?type=Loai2 HTTP/1.1" 200 12606
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:21:28 +0700] "GET /test1/index.jsp?type=Loai3 HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/hahaha.jsp HTTP/1.1" 200 7779
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/css/home3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 56517
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/css/home1.css HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/js/script.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/images/lol.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/images/Garena_Free_Fire_Logo.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/images/cf.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75408
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:24:21 +0700] "GET /test1/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:51 +0700] "GET /test1/hahaha.jsp HTTP/1.1" 200 9454
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:51 +0700] "GET /test1/images/lol.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:51 +0700] "GET /test1/images/Garena_Free_Fire_Logo.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:51 +0700] "GET /test1/images/cf.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:53 +0700] "GET /test1/hahaha.jsp HTTP/1.1" 200 9454
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:53 +0700] "GET /test1/images/Garena_Free_Fire_Logo.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:53 +0700] "GET /test1/images/lol.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [27/Oct/2020:21:25:53 +0700] "GET /test1/images/cf.png HTTP/1.1" 404 778
